Line Item	Price	Unit	HSN	Applicable Site(s)	Site Count	Source PO/Invoice Count	Example Source File	App Display Name
1/8 SIZE WRITING PAD	35	PCS	4820	ETPL THANE	1	1	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	1/8 SIZE WRITING PAD
12X20 STEEL DUSBIN PEDAL	1450	SET	7323	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	12X20 STEEL DUSBIN PEDAL
19X21 CITY GARBAGE BAG	22	ROLL	3923	3I SAKINAKA, ETPL THANE, MyGate, NOIDA, SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	6	6	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	19X21 CITY GARBAGE BAG — ₹22
24" DRY MOP CLIP	120	PCS	9603	CHARNI ROAD, NOIDA	2	2	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	24" DRY MOP CLIP — ₹120
24'' DRY BLUE RIFIL	150	PCS	9603	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	24'' DRY BLUE RIFIL
29X39 CITY GARBAGE BAG	45	ROLL	3923	3I SAKINAKA, CHARNI ROAD, ETPL THANE, NOIDA	4	4	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	29X39 CITY GARBAGE BAG — ₹45
3M Double Side Tapes	220	PCS		SS Plaza	1	2	Stepier - Banglore.pdf	3M Double Side Tapes
3M Ear Plug [PES] | HSN 39119090	35	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	3M Ear Plug [PES] | HSN 39119090
3M MAGIC DUBBLE SIDE TAPE	350	PCS	39199090	ETPL THANE	1	1	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	3M MAGIC DUBBLE SIDE TAPE
3M Scotch Brite Scrub Pad 10CM*15CM 4 IN 1 (FS)	26.5	PCS		Mahindra Finance - Delhi	1	1	FCGC- Delhi.pdf	3M Scotch Brite Scrub Pad 10CM*15CM 4 IN 1 (FS)
743 Glue 20 GM	45	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	743 Glue 20 GM
A/4 JK PAPER 70 GSM [PKT] | HSN 4802	174.6	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	A/4 JK PAPER 70 GSM [PKT] | HSN 4802
A4 Acrylic Transparent Checklist Holder	350	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	A4 Acrylic Transparent Checklist Holder
A4 Acrylic Transparent Checklist Holder [NOS] | HSN 3921	350	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	A4 Acrylic Transparent Checklist Holder [NOS] | HSN 3921
A4 JK Paper 70 GSM	174.6	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	A4 JK Paper 70 GSM
A4 JK Paper 70 GSM	180	PKT		AMR Tech Park	1	1	Stepier - Banglore.pdf	A4 JK Paper 70 GSM
ACID 1LTR	190	LTR		SS Plaza	1	1	Stepier - Banglore.pdf	ACID 1LTR
ACID 5 LTR	250	CAN		SS Plaza	1	1	Stepier - Banglore.pdf	ACID 5 LTR
ACID 5 LTR [CAN] | HSN 28061000	250	CAN		SS Plaza	1	1	Stepier - Banglore.pdf	ACID 5 LTR [CAN] | HSN 28061000
AIR REFILL GODREJ	245	BOTT	3307	3I SAKINAKA, CHARNI ROAD	2	2	Hk Mumbai/PARSVATECH JULY26 3I SAKINAKA.pdf	AIR REFILL GODREJ — ₹245
ALL OUT MACHINE SET [SET] | HSN 38089191	95	SET		SS Plaza	1	1	Stepier - Banglore.pdf	ALL OUT MACHINE SET [SET] | HSN 38089191
APSRA PENCIL	27.16	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	APSRA PENCIL
APSRA PENCIL [PKT] | HSN 9609 | CHANGE TO GST 0pct EXEMPT	27.16	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	APSRA PENCIL [PKT] | HSN 9609 | CHANGE TO GST 0pct EXEMPT
Acrylic Standy	180	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Acrylic Standy
Acrylic Standy	280	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Acrylic Standy
Air First Machine Refill	184.3	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Air First Machine Refill
Air First Machine Refill	220	PCS		AMR Tech Park	1	1	Stepier - Banglore.pdf	Air First Machine Refill
Air First Machine Refill [NOS] | HSN 3307	184.3	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Air First Machine Refill [NOS] | HSN 3307
All Out Refill [NOS] | HSN 38089191	75	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	All Out Refill [NOS] | HSN 38089191
Apsara Pencil	27.16	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	Apsara Pencil
BALL PEN	6	PCS	9608	3I SAKINAKA	1	1	Hk Mumbai/PARSVATECH JULY26 3I SAKINAKA.pdf	BALL PEN
BALL PEN	9	PCS	9608	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	BALL PEN
BALL PEN	62	PKT	9608	ETPL THANE, SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	3	3	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	BALL PEN — ₹62
BALL PEN (HAUSOR XO) (FS)	8	PCS		Mahindra Finance - Delhi	1	1	FCGC- Delhi.pdf	BALL PEN (HAUSOR XO) (FS)
BISLERI WATER 20LTR. JAR COVER	220	PCS	2201	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	BISLERI WATER 20LTR. JAR COVER
BOTTLE BRUSH	25	PCS	9603	NOIDA, SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	3	3	Hk Mumbai/PARSVATECH JULY26 SIGMA 2ND FLOOR (1).pdf	BOTTLE BRUSH — ₹25
BOX FILE YES	58.2	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	BOX FILE YES
BOX FILE YES [NOS] | HSN 48203000	58.2	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	BOX FILE YES [NOS] | HSN 48203000
BROWN TAPE 2INCH (FS)	26.5	PCS		Mahindra Finance - Delhi	1	1	FCGC- Delhi.pdf	BROWN TAPE 2INCH (FS)
BROWN TAPE 3 inch [NOS] | HSN 3919	24.25	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	BROWN TAPE 3 inch [NOS] | HSN 3919
BROWN TAPE 3''	24.25	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	BROWN TAPE 3''
BRU COFFEE	1050	PKT	2101	3I SAKINAKA	1	1	Hk Mumbai/PARSVATECH JULY26 3I SAKINAKA.pdf	BRU COFFEE
Ball Pen Blue	2.91	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Ball Pen Blue
Beverage Supplies (21011200) Kg	820	KG		Mafatlal Chember -A wing	1	1	purchaseorders (11).pdf	Beverage Supplies (21011200) Kg
